block,cost,SHA_COMPRESS,SHA_EXTEND,KECCAK_PERMUTE,POSEIDON2_PERMUTE,ED_ADD,ED_DECOMPRESS,SECP256K1_ADD,SECP256K1_DOUBLE,SECP256K1_DECOMPRESS,SECP256R1_ADD,SECP256R1_DOUBLE,SECP256R1_DECOMPRESS,BN254_ADD,BN254_DOUBLE,BLS12381_ADD,BLS12381_DOUBLE,BLS12381_DECOMPRESS,BN254_FP_ADD,BN254_FP_SUB,BN254_FP_MUL,BN254_FP2_ADD,BN254_FP2_SUB,BN254_FP2_MUL,BLS12381_FP_ADD,BLS12381_FP_SUB,BLS12381_FP_MUL,BLS12381_FP2_ADD,BLS12381_FP2_SUB,BLS12381_FP2_MUL,SECP256K1_FP_ADD,SECP256K1_FP_SUB,SECP256K1_FP_MUL,UINT256_MUL
24000398,10704032872214488,19,19,37357,0,0,0,37671,75776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000399,20448593521059552,14,14,54805,0,0,0,35151,70656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000400,29156198667793143,27,27,61864,0,0,0,41423,83968,0,0,0,0,0,0,0,0,0,204465,0,0,22624,0,29805,0,0,0,0,0,0,0,0,0,26
24000401,38063346038769145,21,21,100175,0,0,0,44691,89600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000402,5677657879980931,14,14,22059,0,0,0,18280,36864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000403,22736403308836524,23,23,73298,0,0,0,70063,140288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000404,75388831144821512,18,18,155419,0,0,0,48834,98304,0,0,0,0,0,0,0,0,0,266284,0,0,45248,0,59610,0,0,0,0,0,0,0,0,0,28
24000405,31941862813068781,14,14,82646,0,0,0,45320,91136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000406,81295443118343658,14,14,107548,0,0,0,17027,34304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000407,43558576233329740,28,28,96188,0,0,0,50902,101888,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,270515,0,0,152665,0,75115,0,0,0,20
24000408,51901318830209379,14,14,93437,0,0,0,50910,101888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000409,24253972708306850,14,14,70227,0,0,0,44842,90112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000410,7053978577199377,14,14,27171,0,0,0,30908,62464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
